2023-11-22 19:06:30.848 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:06:30.849 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=3801731403.
2023-11-22 19:06:30.849 | INFO     | game.world.World:generate:27 - Generating 100 chunks...
2023-11-22 19:06:34.628 | INFO     | game.world.World:generate:34 - World generation took 3.7787671089172363s
2023-11-22 19:06:34.628 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:06:34.628 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:06:34.628 | INFO     | game.Camera:__init__:11 - Camera initialized.
2023-11-22 19:06:34.629 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:06:34.629 | INFO     | App:run:54 - Running app...
2023-11-22 19:07:05.332 | SUCCESS  | __main__:<module>:10 - Game finished!
2023-11-22 19:09:04.427 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:09:05.023 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:09:05.164 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:09:05.214 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:09:05.215 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:09:05.215 | INFO     | game.world.World:load_assets:66 - Loading assets...
2023-11-22 19:09:05.217 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.001009225845336914s
2023-11-22 19:09:05.217 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:09:05.218 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=2588765370.
2023-11-22 19:09:05.218 | INFO     | game.world.World:generate:27 - Generating 100 chunks...
2023-11-22 19:09:09.308 | INFO     | game.world.World:generate:34 - World generation took 4.090806484222412s
2023-11-22 19:09:09.308 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:09:09.308 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:09:09.308 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:09:09.310 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:09:09.310 | INFO     | App:run:54 - Running app...
2023-11-22 19:09:16.367 | SUCCESS  | __main__:<module>:10 - Game finished!
2023-11-22 19:09:40.039 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:09:40.624 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:09:40.791 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:09:40.844 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:09:40.844 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:09:40.845 | INFO     | game.world.World:load_assets:66 - Loading assets...
2023-11-22 19:09:40.847 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.0s
2023-11-22 19:09:40.847 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:09:40.847 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=3982389095.
2023-11-22 19:09:40.847 | INFO     | game.world.World:generate:27 - Generating 100 chunks...
2023-11-22 19:09:45.105 | INFO     | game.world.World:generate:34 - World generation took 4.257402420043945s
2023-11-22 19:09:45.105 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:09:45.105 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:09:45.105 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:09:45.106 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:09:45.107 | INFO     | App:run:54 - Running app...
2023-11-22 19:09:56.284 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:09:56.403 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:09:56.546 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:09:56.597 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:09:56.598 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:09:56.600 | INFO     | game.world.World:load_assets:66 - Loading assets...
2023-11-22 19:09:56.601 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.0s
2023-11-22 19:09:56.602 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:09:56.602 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=16467574.
2023-11-22 19:09:56.604 | INFO     | game.world.World:generate:27 - Generating 25 chunks...
2023-11-22 19:09:59.258 | INFO     | game.world.World:generate:34 - World generation took 2.6520442962646484s
2023-11-22 19:09:59.259 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:09:59.259 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:09:59.259 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:09:59.260 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:09:59.260 | INFO     | App:run:54 - Running app...
2023-11-22 19:10:29.189 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:10:29.326 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:10:29.493 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:10:29.542 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:10:29.543 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:10:29.544 | INFO     | game.world.World:load_assets:66 - Loading assets...
